;; Informe Ciclo medición de humedad 

Fecha:;07-09-2026;;Hora:;10:25

Ciclo;Muestras;Especie;% mc;deb_std;máximo;mímimo;
56;9,9;220;9,6;384;9,2;548;9
57;9,8;221;8,2;385;9,2;549;8,9
58;9,6;222;10,3;386;9,9;550;8,9
59;9,6;223;10;387;8,8;551;9,1
60;9,6;224;9,3;388;9,5;552;8,3
61;9,6;225;9,6;389;7,4;553;8,3
62;9,6;226;9,5;390;8,3;554;8,2
63;10;227;9,9;391;9,3;555;8,8
64;10,3;228;9;392;9,8;556;7,9
65;10,5;229;9,3;393;9;557;8,2
66;10,6;230;9,5;394;9,6;558;8,6
67;9,9;231;8,8;395;9,5;559;9,2
68;8,9;232;8,8;396;9,8;560;9,1
69;9,5;233;8,3;397;10;561;6,1
70;9,6;234;9,2;398;8,6;562;8,1
71;9,3;235;9,1;399;9,6;563;8,5
72;9,6;236;9,1;400;10,7;564;7,9
73;8,5;237;9,3;401;9,8;565;8,1
74;8,6;238;9,5;402;9,6;566;8,5
75;8,2;239;9,5;403;9,1;567;7,4
76;8,6;240;9,8;404;9,3;568;8,2
77;8,3;241;7,6;405;9,6;569;8,2
78;8,8;242;8,5;406;9,6;570;7,9
79;6,7;243;8,3;407;9,2;571;8,6
80;7,9;244;7,9;408;9,2;572;8,6
81;7,5;245;7,6;409;8,9;573;8,5
82;8,2;246;7,8;410;9;574;9,6
83;8,3;247;7,2;411;9,5;575;8,5
84;7,8;248;7,8;412;8,9;576;8,8
85;8,3;249;9,1;413;9,9;577;8,5
86;8,1;250;7,9;414;9,2;578;8,3
87;8,2;251;7,8;415;9,5;579;8,3
88;8,1;252;8,6;416;9,2;580;8,8
89;7,9;253;8,5;417;9,5;581;8,9
90;7,8;254;8,3;418;9,8;582;9,3
91;8,1;255;8,3;419;10;583;9
92;8,5;256;8,1;420;10,2;584;9,2
93;8,3;257;8,2;421;6,7;585;9,5
94;8,2;258;8,2;422;8,3;586;9,6
95;8,2;259;8,1;423;9;587;9,8
96;8,6;260;7,6;424;8,6;588;9,9
97;7,2;261;8,8;425;8,2;589;10
98;7,6;262;8,6;426;8,5;590;9,3
99;7,5;263;8,9;427;8,1;591;9,9
100;6,9;264;8,2;428;8,2;592;9,3
101;6,8;265;8,8;429;8,2;593;9
102;7,2;266;9;430;8,3;594;9
103;7,2;267;9,8;431;8,9;595;9
104;6,9;268;9,5;432;8,5;596;9,5
105;7,1;269;9,2;433;8,3;597;9,8
106;7,9;270;9,3;434;8,6;598;9,2
107;7,5;271;9,9;435;8,1;599;9,3
108;7,9;272;10,2;436;5,7;600;9,2
109;7,8;273;10,6;437;8,6;601;10,2
110;9;274;10;438;8,2;602;10
111;8,8;275;9,9;439;8,6;603;9,9
112;8,6;276;10;440;8,1;604;9,1
113;8,8;277;9,9;441;8,9;605;9,3
114;8,8;278;10,3;442;9,1;606;8,9
115;8,8;279;10,3;443;8,9;607;8,3
116;8,2;280;10,2;444;9,2;608;9,2
117;8,6;281;9,5;445;9,5;609;9
118;8,3;282;9,5;446;9,9;610;9,1
119;8,2;283;9,6;447;10;611;9,2
120;8,5;284;9,9;448;9,8;612;8,8
121;6,4;285;10;449;8,9;613;9,1
122;7,5;286;9,8;450;11,4;614;8,9
123;8,3;287;9,5;451;8,6;615;9
124;8,3;288;17,4;452;9,9;616;8,8
125;7,9;289;16,8;453;10,3;617;8,2
126;8,2;290;15,2;454;10;618;8,1
127;7,9;291;13,2;455;10,2;619;8,5
128;8,1;292;10,2;456;9,3;620;8,8
129;8,2;293;9,3;457;9,6;621;8,3
130;8,1;294;9,5;458;9,1;622;8,5
131;8,2;295;9,2;459;10,5;623;8,3
132;8,3;296;10;460;10,3;624;8,2
133;8,3;297;9,6;461;7,9;625;8,2
134;8,1;298;8,8;462;6,9;626;8,1
135;7,9;299;9,8;463;9,5;627;7,9
136;7,8;300;10;464;9,5;628;9
137;7,8;301;10;465;8,8;629;8,9
138;7,5;302;9,3;466;8,2;630;8,3
139;7,9;303;9,5;467;7,4;631;10,9
140;7,9;304;9,8;468;8,1;632;9,3
141;8,8;305;9,6;469;8,3;633;10,2
142;8,9;306;9,5;470;9,2;634;10,2
143;8,8;307;9,6;471;8,2;635;8,6
144;6,1;308;9,9;472;8,9;636;8,5
145;6,9;309;9,9;473;9,5;637;8,3
146;8,8;310;9,9;474;8,6;638;8,5
147;8,3;311;9,8;475;8,6;639;8,2
148;8,3;312;10,5;476;9;640;8,9
149;8,5;313;10,6;477;9,1;641;9,8
150;8,3;314;10,2;478;8,6;642;9,5
151;9,3;315;9,2;479;8,5;643;8,9
152;9,1;316;8,3;480;8,5;644;9
153;8,5;317;10,2;481;8,8;645;9,5
154;8,6;318;10,6;482;9;646;9,6
155;8,5;319;10,2;483;8,6;647;8,5
156;8,5;320;10,2;484;7,6;648;9,6
157;9;321;10,3;485;7,8;649;10
158;8,6;322;10,6;486;7,5;650;10,3
159;8,8;323;10,5;487;8,5;651;10,5
160;8,5;324;10,5;488;8,5;652;10,5
161;8,8;325;9,9;489;8,8;653;10,5
162;8,3;326;9,6;490;7,9;654;10,6
163;8,8;327;9,1;491;8,5;655;10,7
164;9,1;328;7,2;492;8,6;;
