;; Informe Ciclo medición de humedad 

Fecha:;07-09-2026;;Hora:;10:24

Ciclo;Muestras;Especie;% mc;deb_std;máximo;mímimo;
33;8,9;339;8,5;645;12,8;951;6,7
34;8,8;340;7,4;646;11,4;952;6,7
35;8,3;341;7,2;647;11,6;953;7,1
36;8,3;342;7,6;648;13,4;954;7,5
37;8,5;343;6,7;649;12,5;955;7,6
38;8,6;344;6,7;650;12,1;956;6,9
39;8,8;345;7,4;651;11,6;957;6,8
40;8,3;346;7,1;652;7,4;958;7,5
41;9;347;6,8;653;8,3;959;7,2
42;8,8;348;7,1;654;8,3;960;7,1
43;6,9;349;7,8;655;7,5;961;7,4
44;7,6;350;7,2;656;8,8;962;7,4
45;8,5;351;6,9;657;8,3;963;7,2
46;8,2;352;7,2;658;8,8;964;7,4
47;7,8;353;7,2;659;8,5;965;7,2
48;8,1;354;7,5;660;9,6;966;7,8
49;7,9;355;7,6;661;9,1;967;8,9
50;8,2;356;6,3;662;8,9;968;8,2
51;7,9;357;8,5;663;9;969;7,6
52;7,8;358;7,8;664;8,9;970;7,2
53;7,9;359;7,2;665;8,8;971;7,2
54;8,2;360;8,3;666;9,1;972;8,5
55;8,1;361;8,6;667;8,6;973;7,5
56;7,4;362;8,5;668;8,8;974;7,6
57;7,6;363;8,2;669;8,8;975;7,4
58;7,9;364;8,5;670;8,3;976;7,8
59;8,6;365;9;671;8,3;977;7,6
60;8,2;366;8,9;672;8,3;978;7,6
61;8,5;367;6,7;673;8,1;979;7,9
62;8,6;368;9;674;8,6;980;8,2
63;8,3;369;9,2;675;8,5;981;7,8
64;8,3;370;9,9;676;8,3;982;7,9
65;8,5;371;9,2;677;7,8;983;8,1
66;8,8;372;7,2;678;7,4;984;7,5
67;8,5;373;8,8;679;7,5;985;7,8
68;8,5;374;9,8;680;7,4;986;7,6
69;8,1;375;9;681;6,5;987;8,1
70;8,1;376;9;682;7,8;988;7,9
71;8,2;377;9;683;8,3;989;7,2
72;8,5;378;9;684;7,9;990;7,5
73;8,8;379;9,5;685;7,9;991;8,2
74;8,6;380;8,9;686;8,5;992;7,6
75;8,9;381;8,6;687;8,3;993;7,8
76;8,9;382;8,2;688;7,8;994;7,6
77;8,5;383;8,2;689;8,2;995;8,1
78;8,1;384;7,9;690;8,2;996;7,8
79;8,8;385;8,1;691;8,1;997;7,6
80;9,2;386;7,6;692;6,9;998;7,5
81;9,3;387;7,5;693;8,2;999;7,8
82;9,2;388;8,6;694;7,8;1000;7,8
83;9;389;8,2;695;7,9;1001;7,8
84;7,9;390;7,2;696;7,9;1002;7,8
85;8,6;391;8,6;697;7,8;1003;7,6
86;8,3;392;7,8;698;8,1;1004;7,4
87;8,2;393;8,5;699;8,2;1005;7,5
88;8,3;394;8,1;700;8,2;1006;7,6
89;8,3;395;7,9;701;7,4;1007;8,2
90;8,3;396;7,9;702;7,8;1008;8,3
91;8,3;397;8,1;703;8,3;1009;7,4
92;8,3;398;8,2;704;8,3;1010;8,1
93;8,5;399;8,3;705;9;1011;7,8
94;8,5;400;8,2;706;9;1012;8,1
95;8,3;401;8,3;707;9;1013;8,2
96;7,4;402;7,6;708;9;1014;7,5
97;7,8;403;7,8;709;9,1;1015;7,8
98;8,1;404;8,1;710;8,5;1016;7,9
99;7,2;405;8,1;711;7,9;1017;7,9
100;6,7;406;8,1;712;8,3;1018;8,2
101;8,3;407;8,2;713;8,2;1019;8,1
102;8,6;408;7,8;714;8,2;1020;7,6
103;7,8;409;7,6;715;8,3;1021;7,9
104;7,5;410;7,5;716;8,8;1022;7,9
105;7,4;411;7,5;717;8,1;1023;8,1
106;7,8;412;8,6;718;6,8;1024;7,8
107;7,5;413;7,9;719;6,9;1025;8,1
108;8,6;414;9;720;8,2;1026;7,9
109;7,6;415;9,1;721;8,2;1027;7,6
110;7,9;416;9,3;722;8,6;1028;8,2
111;7,5;417;8,9;723;8,3;1029;7,6
112;7,6;418;8,8;724;8,1;1030;7,9
113;7,5;419;9;725;8,1;1031;9,1
114;7,6;420;8,9;726;8,3;1032;9
115;7,8;421;8,6;727;8,3;1033;8,8
116;7,1;422;8,2;728;9,1;1034;8,9
117;7,4;423;7,9;729;9,1;1035;8,5
118;7,9;424;9,2;730;8,3;1036;8,3
119;7,6;425;9,2;731;8,5;1037;8,6
120;7,6;426;9,2;732;8,1;1038;9
121;8,1;427;9,2;733;7,9;1039;9
122;7,8;428;9,1;734;7,8;1040;9,9
123;8,5;429;9,6;735;8,5;1041;10,7
124;8,5;430;9;736;8,5;1042;10,6
125;7,8;431;9,1;737;8,5;1043;9,8
126;8,5;432;9,2;738;8,3;1044;9,6
127;8,2;433;9,5;739;8,5;1045;9,8
128;7,8;434;9,3;740;8,2;1046;10
129;7,6;435;9,2;741;8,5;1047;9,3
130;7,6;436;8,3;742;8,3;1048;9,8
131;7,4;437;6,9;743;8,5;1049;9,6
132;7,9;438;7,9;744;8,2;1050;9,6
133;7,9;439;6,8;745;8,5;1051;9,2
134;7,8;440;6,9;746;8,5;1052;9,3
135;8,1;441;7,5;747;8,5;1053;9,5
136;8,3;442;7,6;748;8,8;1054;9,5
137;7,8;443;7,5;749;8,5;1055;9
138;7,4;444;7,1;750;7,6;1056;9,1
139;8,1;445;7,2;751;8,3;1057;9,2
140;7,8;446;8,2;752;7,5;1058;9,2
141;6,8;447;7,6;753;8,2;1059;9,2
142;7,1;448;7,8;754;7,8;1060;9,1
143;6,9;449;8,3;755;7,2;1061;9
144;7,5;450;7,6;756;8,2;1062;9,1
145;7,6;451;7,6;757;8,6;1063;9,2
146;7,6;452;7,4;758;8,5;1064;9
147;8,5;453;7,1;759;8,3;1065;9,3
148;8,1;454;7,2;760;8,8;1066;9
149;7,1;455;6,7;761;9,3;1067;9,2
150;8,3;456;6,5;762;9,2;1068;9,3
151;8,1;457;7,2;763;9,6;1069;8,6
152;7,6;458;6,7;764;9,6;1070;9
153;7,6;459;7,9;765;9,9;1071;9
154;7,5;460;9,1;766;9,1;1072;8,8
155;8,3;461;9,3;767;9,8;1073;9
156;8,2;462;8,8;768;9,3;1074;8,9
157;8,3;463;7,1;769;8,5;1075;8,9
158;7,6;464;9,9;770;8,3;1076;9,1
159;7,5;465;9,1;771;8,2;1077;8,9
160;7,5;466;8,9;772;7,9;1078;8,5
161;7,1;467;8,8;773;8,2;1079;17,9
162;7,1;468;9,2;774;8,5;1080;16,3
163;7,1;469;9,5;775;7,9;1081;22,3
164;7,8;470;9,2;776;8,3;1082;12
165;8,2;471;9,2;777;7,8;1083;11
166;7,9;472;9,1;778;8,5;1084;11,2
167;7,2;473;8,3;779;8,1;1085;11,3
168;7,5;474;7,8;780;8,5;1086;12,2
169;7,5;475;7,8;781;8,6;1087;12,1
170;7,6;476;7,8;782;8,6;1088;11,9
171;9,2;477;8,5;783;8,6;1089;11,9
172;9,9;478;8,1;784;8,6;1090;11
173;8,5;479;7,4;785;8,6;1091;8,6
174;9;480;7,2;786;8,5;1092;8,6
175;8,3;481;8,2;787;8,3;1093;8,6
176;8,3;482;8,8;788;8,5;1094;8,5
177;7,9;483;7,6;789;8,5;1095;8,6
178;8,5;484;6,9;790;8,3;1096;8,8
179;8,1;485;8,9;791;9,6;1097;8,5
180;8,2;486;9,2;792;7,4;1098;8,6
181;8,1;487;9,2;793;8,6;1099;8,8
182;7,9;488;7,9;794;9;1100;9,1
183;8,2;489;7,6;795;9,1;1101;9,6
184;8,6;490;7,5;796;9,1;1102;9,6
185;8,2;491;8,5;797;9,2;1103;8,9
186;8,2;492;8,5;798;9,1;1104;16,7
187;8,2;493;8,2;799;8,9;1105;16,8
188;8,1;494;7,8;800;8,9;1106;8,3
189;8,1;495;8,3;801;8,8;1107;8,8
190;8,1;496;8,1;802;8,8;1108;9,1
191;8,8;497;7,6;803;8,5;1109;8,9
192;8,8;498;7,8;804;8,3;1110;8,6
193;8,2;499;7,8;805;8,5;1111;9,2
194;8,1;500;7,5;806;8,6;1112;9,3
195;8,8;501;7,9;807;8,5;1113;9,6
196;8,5;502;8,1;808;8,5;1114;11,6
197;7,9;503;8,1;809;8,2;1115;10,3
198;7,9;504;8,1;810;8,2;1116;10,3
199;8,6;505;8,1;811;8,1;1117;10,2
200;9,3;506;8,1;812;8,2;1118;10,3
201;8,8;507;8,1;813;8,3;1119;10
202;8,8;508;7,8;814;8,5;1120;10,3
203;8,9;509;9;815;8,3;1121;10,2
204;8,6;510;9,5;816;8,5;1122;10,2
205;7,9;511;9,9;817;8,6;1123;9,9
206;7,9;512;8,9;818;8,6;1124;9,9
207;7,6;513;8,8;819;8,6;1125;9,9
208;8,3;514;7,6;820;8,6;1126;9,8
209;8,6;515;7,9;821;8,5;1127;7,8
210;8,3;516;8,3;822;8,9;1128;7,4
211;8,6;517;7,9;823;9,2;1129;7,9
212;8,1;518;7,9;824;9,1;1130;8,3
213;8,1;519;7,9;825;8,6;1131;7,6
214;7,9;520;8,1;826;8,8;1132;7,8
215;8,1;521;7,9;827;8,6;1133;8,1
216;8,3;522;7,9;828;8,6;1134;8,5
217;8,1;523;7,9;829;8,6;1135;8,6
218;8,2;524;8,1;830;9,3;1136;7,9
219;9,2;525;8,1;831;9,2;1137;16,2
220;8,3;526;7,8;832;9;1138;8,3
221;9,2;527;7,2;833;9,2;1139;8,5
222;9;528;6,8;834;9,1;1140;8,6
223;9,1;529;7,9;835;9;1141;8,8
224;7,5;530;8,3;836;9,1;1142;8,8
225;8,3;531;9,2;837;8,5;1143;8,6
226;8,2;532;7,9;838;8,6;1144;8,8
227;8,3;533;8,8;839;8,8;1145;8,6
228;7,4;534;8,5;840;8,6;1146;8,5
229;8,2;535;8,3;841;8,8;1147;8,2
230;8,3;536;7,9;842;8,8;1148;8,6
231;7,8;537;8,2;843;8,9;1149;9
232;7,5;538;7,6;844;8,9;1150;8,8
233;8,2;539;8,2;845;8,9;1151;8,9
234;7,9;540;7,8;846;8,8;1152;8,8
235;8,2;541;7,9;847;9,5;1153;9
236;7,6;542;8,2;848;8,8;1154;8,9
237;8,6;543;7,9;849;8,8;1155;8,5
238;8,2;544;7,9;850;8,5;1156;8,8
239;8,3;545;7,8;851;8,6;1157;9
240;7,9;546;7,6;852;8,8;1158;9,1
241;8,1;547;7,9;853;8,9;1159;9,1
242;8,5;548;8,2;854;8,6;1160;9,6
243;7,8;549;8,1;855;8,8;1161;9,6
244;7,9;550;7,8;856;8,6;1162;9,6
245;7,9;551;8,1;857;8,3;1163;10,5
246;7,5;552;8,1;858;8,3;1164;10,7
247;8,6;553;8,1;859;8,5;1165;10,6
248;8,1;554;8,3;860;9;1166;10,3
249;7,6;555;8,2;861;9,1;1167;10,5
250;6,1;556;9,1;862;9,3;1168;10,6
251;7,1;557;9,1;863;9;1169;10,6
252;7,6;558;7,5;864;9,1;1170;10,5
253;7,6;559;7,9;865;8,8;1171;9,2
254;7,6;560;7,9;866;9;1172;9,5
255;8,1;561;7,8;867;9,2;1173;9,5
256;7,9;562;7,5;868;8,9;1174;9,6
257;7,6;563;7,6;869;9;1175;10
258;7,9;564;7,5;870;6,7;1176;8,9
259;8,5;565;7,2;871;7,9;1177;9,2
260;7,2;566;7,5;872;8,5;1178;9
261;7,8;567;7,5;873;8,8;1179;9,3
262;7,4;568;7,4;874;8,9;1180;9,2
263;8,6;569;7,6;875;8,6;1181;9,3
264;8,1;570;7,5;876;7,6;1182;9,5
265;7,4;571;7,2;877;7,4;1183;9,2
266;7,8;572;7,4;878;7,9;1184;9,2
267;8,6;573;7,2;879;8,1;1185;9,5
268;7,5;574;7,4;880;8,5;1186;9,6
269;7,4;575;7,6;881;8,5;1187;9,6
270;7,6;576;7,5;882;7,9;1188;9,2
271;7,9;577;7,8;883;8,3;1189;9,1
272;7,4;578;8,2;884;8,3;1190;9
273;7,6;579;8,1;885;8,2;1191;9
274;7,2;580;8,6;886;8,2;1192;8,8
275;7,8;581;9,5;887;8,1;1193;8,6
276;7,5;582;9,8;888;8,2;1194;8,6
277;7,9;583;9,2;889;8,2;1195;8,9
278;8,1;584;9,5;890;8,1;1196;8,3
279;8,2;585;9;891;8,2;1197;8,8
280;7,9;586;7,1;892;8,3;1198;8,9
281;9,2;587;8,5;893;8,2;1199;8,5
282;8,5;588;8,2;894;8,6;1200;8,8
283;8,1;589;8,6;895;9,2;1201;9,2
284;7,1;590;7,9;896;8,8;1202;9,1
285;6,8;591;8,5;897;9;1203;9,1
286;7,8;592;8,2;898;9,6;1204;8,9
287;7,8;593;8,3;899;9,1;1205;8,8
288;7,1;594;8,2;900;9,3;1206;9,1
289;7,4;595;8,3;901;8,3;1207;9,5
290;6;596;7,9;902;8,8;1208;9,9
291;6,4;597;7,9;903;8,8;1209;9,8
292;8,2;598;8,2;904;8,5;1210;9,9
293;8,1;599;8,2;905;8,8;1211;9,9
294;6,9;600;8,2;906;9;1212;9,9
295;6,8;601;8,2;907;9,2;1213;9,8
296;7,9;602;8,3;908;9,3;1214;9,8
297;6,3;603;8,1;909;9,1;1215;9,8
298;8,5;604;8,3;910;9;1216;9,8
299;7,8;605;8,8;911;9;1217;9,5
300;7,4;606;9;912;9,1;1218;9,3
301;8,8;607;8,5;913;9;1219;9,8
302;9,1;608;8,2;914;9,3;1220;9,6
303;6,5;609;8,2;915;9,1;1221;8,9
304;6,3;610;8,5;916;9,5;1222;9,2
305;9,3;611;8,1;917;9;;
306;8,8;612;8,1;918;8,2;;
