;; Informe Ciclo medición de humedad 

Fecha:;07-09-2026;;Hora:;10:23

Ciclo;Muestras;Especie;% mc;deb_std;máximo;mímimo;
40;8,3;203;8,9;366;8,9;529;7,9
41;9;204;8,6;367;6,7;530;8,3
42;8,8;205;7,9;368;9;531;9,2
43;6,9;206;7,9;369;9,2;532;7,9
44;7,6;207;7,6;370;9,9;533;8,8
45;8,5;208;8,3;371;9,2;534;8,5
46;8,2;209;8,6;372;7,2;535;8,3
47;7,8;210;8,3;373;8,8;536;7,9
48;8,1;211;8,6;374;9,8;537;8,2
49;7,9;212;8,1;375;9;538;7,6
50;8,2;213;8,1;376;9;539;8,2
51;7,9;214;7,9;377;9;540;7,8
52;7,8;215;8,1;378;9;541;7,9
53;7,9;216;8,3;379;9,5;542;8,2
54;8,2;217;8,1;380;8,9;543;7,9
55;8,1;218;8,2;381;8,6;544;7,9
56;7,4;219;9,2;382;8,2;545;7,8
57;7,6;220;8,3;383;8,2;546;7,6
58;7,9;221;9,2;384;7,9;547;7,9
59;8,6;222;9;385;8,1;548;8,2
60;8,2;223;9,1;386;7,6;549;8,1
61;8,5;224;7,5;387;7,5;550;7,8
62;8,6;225;8,3;388;8,6;551;8,1
63;8,3;226;8,2;389;8,2;552;8,1
64;8,3;227;8,3;390;7,2;553;8,1
65;8,5;228;7,4;391;8,6;554;8,3
66;8,8;229;8,2;392;7,8;555;8,2
67;8,5;230;8,3;393;8,5;556;9,1
68;8,5;231;7,8;394;8,1;557;9,1
69;8,1;232;7,5;395;7,9;558;7,5
70;8,1;233;8,2;396;7,9;559;7,9
71;8,2;234;7,9;397;8,1;560;7,9
72;8,5;235;8,2;398;8,2;561;7,8
73;8,8;236;7,6;399;8,3;562;7,5
74;8,6;237;8,6;400;8,2;563;7,6
75;8,9;238;8,2;401;8,3;564;7,5
76;8,9;239;8,3;402;7,6;565;7,2
77;8,5;240;7,9;403;7,8;566;7,5
78;8,1;241;8,1;404;8,1;567;7,5
79;8,8;242;8,5;405;8,1;568;7,4
80;9,2;243;7,8;406;8,1;569;7,6
81;9,3;244;7,9;407;8,2;570;7,5
82;9,2;245;7,9;408;7,8;571;7,2
83;9;246;7,5;409;7,6;572;7,4
84;7,9;247;8,6;410;7,5;573;7,2
85;8,6;248;8,1;411;7,5;574;7,4
86;8,3;249;7,6;412;8,6;575;7,6
87;8,2;250;6,1;413;7,9;576;7,5
88;8,3;251;7,1;414;9;577;7,8
89;8,3;252;7,6;415;9,1;578;8,2
90;8,3;253;7,6;416;9,3;579;8,1
91;8,3;254;7,6;417;8,9;580;8,6
92;8,3;255;8,1;418;8,8;581;9,5
93;8,5;256;7,9;419;9;582;9,8
94;8,5;257;7,6;420;8,9;583;9,2
95;8,3;258;7,9;421;8,6;584;9,5
96;7,4;259;8,5;422;8,2;585;9
97;7,8;260;7,2;423;7,9;586;7,1
98;8,1;261;7,8;424;9,2;587;8,5
99;7,2;262;7,4;425;9,2;588;8,2
100;6,7;263;8,6;426;9,2;589;8,6
101;8,3;264;8,1;427;9,2;590;7,9
102;8,6;265;7,4;428;9,1;591;8,5
103;7,8;266;7,8;429;9,6;592;8,2
104;7,5;267;8,6;430;9;593;8,3
105;7,4;268;7,5;431;9,1;594;8,2
106;7,8;269;7,4;432;9,2;595;8,3
107;7,5;270;7,6;433;9,5;596;7,9
108;8,6;271;7,9;434;9,3;597;7,9
109;7,6;272;7,4;435;9,2;598;8,2
110;7,9;273;7,6;436;8,3;599;8,2
111;7,5;274;7,2;437;6,9;600;8,2
112;7,6;275;7,8;438;7,9;601;8,2
113;7,5;276;7,5;439;6,8;602;8,3
114;7,6;277;7,9;440;6,9;603;8,1
115;7,8;278;8,1;441;7,5;604;8,3
116;7,1;279;8,2;442;7,6;605;8,8
117;7,4;280;7,9;443;7,5;606;9
118;7,9;281;9,2;444;7,1;607;8,5
119;7,6;282;8,5;445;7,2;608;8,2
120;7,6;283;8,1;446;8,2;609;8,2
121;8,1;284;7,1;447;7,6;610;8,5
122;7,8;285;6,8;448;7,8;611;8,1
123;8,5;286;7,8;449;8,3;612;8,1
124;8,5;287;7,8;450;7,6;613;8,6
125;7,8;288;7,1;451;7,6;614;8,1
126;8,5;289;7,4;452;7,4;615;8,3
127;8,2;290;6;453;7,1;616;8,2
128;7,8;291;6,4;454;7,2;617;8,3
129;7,6;292;8,2;455;6,7;618;9
130;7,6;293;8,1;456;6,5;619;8,9
131;7,4;294;6,9;457;7,2;620;8,5
132;7,9;295;6,8;458;6,7;621;8,5
133;7,9;296;7,9;459;7,9;622;8,2
134;7,8;297;6,3;460;9,1;623;8,6
135;8,1;298;8,5;461;9,3;624;8,6
136;8,3;299;7,8;462;8,8;625;8,8
137;7,8;300;7,4;463;7,1;626;8,8
138;7,4;301;8,8;464;9,9;627;8,8
139;8,1;302;9,1;465;9,1;628;8,8
140;7,8;303;6,5;466;8,9;629;8,5
141;6,8;304;6,3;467;8,8;630;9,8
142;7,1;305;9,3;468;9,2;631;9,8
143;6,9;306;8,8;469;9,5;632;9,2
144;7,5;307;7,4;470;9,2;633;9,5
145;7,6;308;8,2;471;9,2;634;9,5
146;7,6;309;9;472;9,1;635;9
147;8,5;310;8,8;473;8,3;636;9,1
148;8,1;311;8,9;474;7,8;637;9,2
149;7,1;312;8,9;475;7,8;638;9,1
150;8,3;313;8,5;476;7,8;639;8,9
151;8,1;314;8,2;477;8,5;640;9,1
152;7,6;315;8,6;478;8,1;641;11,4
153;7,6;316;8,6;479;7,4;642;11,6
154;7,5;317;9,5;480;7,2;643;11,4
155;8,3;318;8,3;481;8,2;644;11,5
156;8,2;319;8,5;482;8,8;645;12,8
157;8,3;320;6,8;483;7,6;646;11,4
158;7,6;321;8,9;484;6,9;647;11,6
159;7,5;322;8,2;485;8,9;648;13,4
160;7,5;323;6,8;486;9,2;649;12,5
161;7,1;324;7,8;487;9,2;650;12,1
162;7,1;325;8,1;488;7,9;651;11,6
163;7,1;326;8,5;489;7,6;;
